                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                 1.5713,                 1.1043,                0.39375,                 1.0819,                 1.6158,                0.82547,                0.94444,                0.81685,                0.45337,                0.82547,                0.94444,                0.81685,                0.60469,                 1.3538,                0.73085,                0.06225,                0.91033,                 1.7106,              0.0018614,              0.0018614,              0.0018614
                     23,                 1.4968,                0.96127,                0.29534,                 1.0402,                 1.5749,                 0.9387,                0.86111,                0.87377,                0.47797,                 0.9387,                0.86111,                0.87444,                0.71987,                 1.5214,                0.78684,                0.08837,                 1.5452,                 1.8542,              0.0018548,              0.0018548,              0.0018548
                     24,                 1.4556,                 1.1225,                0.31353,                0.95505,                 1.4723,                0.86521,                0.86111,                0.87476,                0.47326,                0.86521,                0.86111,                0.87607,                0.64255,                 1.6434,                  1.068,                0.07581,                  2.835,                 2.0117,              0.0018482,              0.0018482,              0.0018482
                     25,                 1.5384,                 1.0502,                0.30794,                 0.9899,                 1.5345,                0.69825,                0.91667,                0.83656,                0.44206,                0.72112,                0.94444,                0.87446,                0.68368,                 1.5792,                 0.9503,                  0.058,                 1.6651,                 1.9935,              0.0018416,              0.0018416,              0.0018416
                     26,                 1.4964,                 1.0518,                0.30256,                0.91414,                 1.5029,                0.56763,                0.83885,                0.59388,                0.31706,                0.58643,                0.86662,                0.62224,                   0.45,                 1.4051,                 1.0046,                0.05694,                 1.6565,                  1.729,               0.001835,               0.001835,               0.001835
                     27,                  1.559,                 1.0414,                0.32174,                  0.957,                 1.5599,                0.67625,                0.86111,                 0.8362,                0.40005,                0.67941,                0.88889,                0.86008,                0.66964,                  1.551,                 1.0068,                0.03277,                 2.4842,                 1.8794,              0.0018284,              0.0018284,              0.0018284
                     28,                 1.6009,                 1.0087,                0.27216,                0.90669,                 1.5522,                0.54205,                0.69053,                0.56078,                0.19956,                0.51845,                0.69444,                 0.5308,                0.37254,                 1.7047,                 1.7294,                0.07334,                  3.101,                 2.0021,              0.0018218,              0.0018218,              0.0018218
                     29,                  1.545,                0.93946,                0.28493,                0.95285,                 1.5455,                0.38815,                0.83333,                0.42737,                0.18365,                0.35565,                0.72222,                0.34766,                0.23535,                 1.6348,                 1.3693,                0.08148,                 1.8259,                  2.009,              0.0018152,              0.0018152,              0.0018152
                     30,                 1.5288,                0.92584,                0.27294,                 1.0012,                 1.5962,                 0.8666,                      1,                0.99284,                0.55135,                 0.8666,                      1,                0.99284,                0.78029,                 1.4275,                0.60178,                0.03449,                 1.2993,                 1.7698,              0.0018086,              0.0018086,              0.0018086
                     31,                 1.4524,                 0.9771,                0.30368,                0.99058,                 1.4271,                 0.9701,                      1,                  0.995,                0.53884,                 0.9701,                      1,                  0.995,                0.72742,                 1.4079,                0.69788,                 0.0428,                  1.154,                 1.7133,               0.001802,               0.001802,               0.001802
