                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.7911,                 1.7062,                0.40632,                 1.2194,                 2.1955,                0.02462,                0.16667,                0.00877,                0.00176,                0.01312,                0.08333,                 0.0047,                 0.0011,                 4.0831,                 6.4442,                 5.8103,                  41.02,                 15.307,              0.0018548,              0.0018548,              0.0018548
                     24,                 1.8808,                 1.8449,                0.40844,                 1.2278,                 2.1951,                0.00174,                0.16667,                0.00121,                0.00023,                0.00106,                0.04167,                0.00057,                0.00017,                 4.5441,                   7.89,                 1.0042,                 27.296,                 8.4339,              0.0018482,              0.0018482,              0.0018482
                     25,                 1.7698,                 1.7932,                0.39004,                 1.4227,                 2.1707,                0.00412,                0.45833,                0.00395,                 0.0012,                0.02139,                0.04167,                0.00633,                0.00134,                 3.7973,                 5.1683,                0.89765,                 14.999,                 6.0849,              0.0018416,              0.0018416,              0.0018416
                     26,                 1.4945,                 1.9042,                0.36277,                 1.0944,                 1.8623,                0.02887,                0.35183,                0.02348,                0.00925,                0.03399,                0.41485,                0.02242,                0.00944,                 3.0858,                 3.3248,                0.17652,                  16.98,                 4.4517,               0.001835,               0.001835,               0.001835
                     27,                 1.5684,                  1.634,                0.39492,                 1.1763,                  1.949,                0.06188,                0.79167,                0.05791,                0.01987,                0.07398,                0.41667,                0.06727,                0.02929,                 2.2732,                  2.177,                0.17741,                 14.236,                 3.4267,              0.0018284,              0.0018284,              0.0018284
                     28,                 1.7097,                 2.0738,                0.41652,                 1.2508,                 2.1054,                0.11733,                0.54167,                0.19971,                0.05664,                0.14341,                0.66667,                0.22277,                0.10039,                 2.1576,                 2.3173,                0.06246,                  20.85,                 3.6401,              0.0018218,              0.0018218,              0.0018218
                     29,                 1.6256,                 1.6884,                0.38759,                 1.2738,                 2.0021,                0.50205,                0.70833,                 0.6965,                 0.2414,                0.55243,                0.79167,                0.74384,                0.24576,                 1.8828,                 2.7811,                0.29098,                 7.0278,                 3.3718,              0.0018152,              0.0018152,              0.0018152
                     30,                  1.786,                 1.7855,                0.44635,                 1.2085,                 2.1609,                0.63678,                   0.75,                0.73871,                0.28945,                 0.6968,                0.76644,                0.76992,                0.49021,                 1.7385,                  1.798,                0.10736,                 3.4282,                 2.5739,              0.0018086,              0.0018086,              0.0018086
                     31,                 1.5691,                 1.5057,                0.37493,                 1.1209,                 1.9801,                0.15224,                0.58333,                 0.1514,                 0.0652,                0.38972,                0.69203,                0.48012,                0.19734,                  1.808,                 1.5232,                0.06888,                 13.332,                 2.7091,               0.001802,               0.001802,               0.001802
                     32,                 1.5837,                 1.7828,                 0.3352,                 1.1786,                 1.9709,                0.14476,                  0.625,                0.13495,                0.06199,                0.20755,                0.45833,                0.19538,                0.11715,                 1.5766,                 1.3542,                  0.059,                 9.0401,                 2.7018,              0.0017954,              0.0017954,              0.0017954
                     33,                   1.67,                 1.6328,                0.38859,                 1.1794,                 2.1097,                0.10911,                   0.75,                0.10275,                0.04243,                0.14652,                  0.625,                0.15197,                0.08232,                 2.0149,                 1.8158,                0.12391,                 8.9451,                 3.1749,              0.0017888,              0.0017888,              0.0017888
                     34,                 1.6773,                 1.3402,                0.34936,                 1.1673,                 2.0364,                0.35054,                0.51754,                0.32887,                0.10929,                0.48931,                0.66667,                0.49398,                0.23619,                 2.0604,                 1.8915,                0.17301,                 6.0007,                 3.1438,              0.0017822,              0.0017822,              0.0017822
                     35,                  1.585,                 1.7349,                0.36331,                 1.1887,                 1.9308,                0.11097,                0.33333,                0.08861,                0.03051,                0.17739,                  0.625,                0.20085,                 0.0663,                 2.4482,                 2.5093,                0.30057,                  6.458,                 3.0911,              0.0017756,              0.0017756,              0.0017756
                     36,                 1.5878,                 1.3389,                0.38796,                 1.3055,                 2.0619,                0.51045,                0.47836,                0.48962,                0.17687,                0.49475,                0.41667,                0.44789,                0.36848,                 1.7074,                 1.7031,                0.23273,                 6.2089,                 2.7353,               0.001769,               0.001769,               0.001769
                     37,                 1.5287,                 1.3703,                0.34949,                 1.1797,                 1.9225,                0.55438,                0.66667,                0.67305,                0.23767,                0.48508,                0.58333,                0.59588,                0.45638,                 2.0429,                 1.9933,                0.14177,                 4.4951,                 2.9442,              0.0017624,              0.0017624,              0.0017624
                     38,                 1.4486,                 1.4041,                0.35485,                 1.1552,                 1.8971,                0.62147,                0.61597,                 0.5084,                0.19042,                0.70746,                0.70546,                0.66157,                0.40454,                 2.2373,                 2.0812,                0.13392,                 2.8592,                 3.2644,              0.0017558,              0.0017558,              0.0017558
                     39,                 1.6145,                 1.6661,                0.35743,                 1.2074,                 2.0587,                0.13454,                0.41667,                0.14537,                0.04901,                 0.1749,                0.54167,                0.21433,                0.10018,                 2.7578,                 2.1597,                0.23201,                 6.4774,                 3.6444,              0.0017492,              0.0017492,              0.0017492
                     40,                 1.5883,                 1.5669,                0.29855,                 1.1517,                  2.009,                0.71196,                0.66667,                0.72862,                 0.2676,                0.66746,                  0.625,                0.76582,                 0.5432,                 2.0654,                 1.4877,                0.07845,                 5.2652,                 3.3832,              0.0017426,              0.0017426,              0.0017426
                     41,                  1.709,                  1.553,                0.37959,                 1.2696,                 2.0505,                0.45018,                    0.5,                0.46501,                0.21273,                0.44778,                    0.5,                0.48907,                0.37008,                 2.1735,                 1.9315,                0.17479,                 5.4121,                 3.3106,               0.001736,               0.001736,               0.001736
                     42,                 1.5797,                 1.4688,                0.31716,                 1.2039,                 1.9052,                0.74494,                0.58333,                0.58873,                 0.3016,                0.68714,                0.54167,                0.61585,                0.44651,                 1.8361,                 1.5904,                0.15448,                 3.1228,                 2.9164,              0.0017294,              0.0017294,              0.0017294
                     43,                 1.5731,                 1.2374,                0.32975,                 1.2139,                 1.9399,                0.61071,                0.66667,                0.65161,                0.23771,                 0.6134,                0.66667,                0.67837,                0.38469,                 2.2254,                 2.0255,                0.12389,                 2.0295,                 3.3937,              0.0017228,              0.0017228,              0.0017228
                     44,                 1.4835,                 1.3552,                0.35866,                 1.1748,                 1.8704,                0.75487,                   0.75,                0.70505,                0.30068,                0.72664,                0.77569,                0.66697,                0.30729,                 1.8662,                 1.7761,                0.04235,                 4.2282,                 2.9289,              0.0017162,              0.0017162,              0.0017162
                     45,                 1.6737,                 1.3582,                0.33794,                 1.1138,                 2.0771,                0.56735,                0.81987,                0.77803,                0.31286,                0.56735,                0.81987,                0.77803,                  0.317,                 2.0047,                 1.7765,                0.03204,                 4.1055,                 3.1088,              0.0017096,              0.0017096,              0.0017096
                     46,                 1.5182,                 1.3024,                0.30571,                 1.0945,                 1.8966,                0.90236,                  0.875,                0.94689,                0.46497,                0.83356,                0.83474,                0.86626,                0.49943,                 1.5595,                 1.4523,                 0.0413,                 2.7626,                 2.4634,               0.001703,               0.001703,               0.001703
                     47,                 1.5197,                 1.1738,                0.28431,                 1.0957,                 1.9264,                0.84252,                  0.875,                0.92746,                0.45234,                0.81839,                0.83333,                0.90587,                0.56118,                 1.5699,                 1.4156,                0.04144,                 2.1179,                 2.4415,              0.0016964,              0.0016964,              0.0016964
                     48,                 1.4553,                 1.1386,                0.32493,                 1.0355,                 1.9019,                0.53676,                0.79167,                0.72983,                0.36921,                0.58397,                0.76057,                0.75919,                0.44871,                 1.4938,                 1.4583,                 0.0343,                 1.7331,                  2.318,              0.0016898,              0.0016898,              0.0016898
                     49,                 1.4827,                 1.2805,                0.28589,                 1.0882,                 1.9404,                0.42241,                0.79167,                0.53333,                0.26313,                0.44848,                0.79167,                0.51944,                0.36134,                 1.5632,                 1.3252,                0.05749,                 2.3253,                  2.384,              0.0016832,              0.0016832,              0.0016832
                     50,                 1.4605,                 1.2813,                0.27532,                 1.1065,                 1.9001,                0.66127,                0.73245,                0.69249,                0.32761,                0.68429,                0.70833,                0.74087,                0.50124,                 1.5692,                 1.3759,                0.07431,                   2.01,                 2.3944,              0.0016766,              0.0016766,              0.0016766
